"","shape","rate"
"494",16.7114359553745,4.63605628261993
"495",10.7805264869136,3.65272387634269
"496",10.3736622133142,3.53426690123956
"497",33.3384446832171,9.96682005675652
"498",5.12114996291992,2.06030660319464
"499",0,0
"500",10.8203728682301,3.42065779359193
"501",27.7662650375385,7.55523490985587
"502",44.1641215430646,11.8501650095668
"503",13.4975096473733,4.64995705626056
"504",28.7884866394923,8.07726616511968
"505",12.5981515071807,4.20742081711813
"506",58.8429385031571,15.3586653456904
"507",16.2536262582603,4.70676806789194
"508",30.2119938619561,8.39394479644721
"509",31.9470403327443,8.16573260548521
"510",16.9987486619758,5.31322248979048
"511",13.3621915892681,4.47985746708573
"512",9.21263365623926,3.0689073678354
"513",0.0988237991376804,0.40611023723181
"514",25.3373044660683,6.30210613605529
"515",14.9018615924337,4.26678823677384
"516",21.4966775041406,6.29515506776125
"517",9.3945373656609,3.45079262219966
"518",16.9007862658964,4.83909578024071
"519",8.52668358817999,2.83475697517245
"520",8.98268474750128,2.96482276248729
"521",53.9649509131247,15.2751680688598
"522",26.7834924874719,8.86548452061361
"523",40.3886560432071,12.2752311342626
"524",42.011258903721,11.4163303807108
"525",11.1718703700062,3.77041270376762
"526",3.19056517125564,2.19965480711282
"527",2.88648648864122,1.62352986482474
"528",45.0290841393641,10.6202027637857
"529",16.0908586358424,5.54396568384571
"530",3.96138370352029,1.77072927540801
"531",2.8960990343907,1.24470104686171
"532",6.13460699038919,2.69932997897491
"533",7.81824451371551,2.46441283023755
"534",12.1220043411482,3.51565861375045
"535",1.58615666411717,1.02859178257861
"536",3.11114475812953,1.47165676608577
"537",11.0570472311931,3.19488108649063
"538",5.3967534326971,2.10398897907979
"539",17.1280210607686,4.97017349668096
"540",5.84160481936551,2.68970459959114
"541",0,0
"542",10.1766739939492,3.83464081670745
"543",0.95922033540864,0.870673075132964
"544",3.86731087909866,1.84201769970781
"545",14.5836196227722,5.51209879372646
"546",8.20431050214559,2.81116388526155
"547",1.60777662293179,1.1021460197929
"548",4.06361715239938,2.17003968223746
"549",9.7163675965632,3.54777513258989
"550",6.5873684232248,2.63132515724638
"551",6.42126460388721,2.71471637241369
"552",0.390304307496183,0.754987691015633
"553",6.09958013560307,2.77946195810477
"554",6.57959940316108,2.63193356470162
"555",17.065336551043,5.54092840056908
"556",0.834305515101404,0.901173348557857
"557",2.16378287675096,1.54644183099086
"558",13.6469025726543,4.81528895477873
"559",6.67266926717261,2.66383007717473
"560",0,0
"561",0,0
"562",0.0988237991376804,0.40611023723181
"563",0,0
"564",0,0
"565",0.193632517964188,0.55476034282758
"566",1.22043690167617,0.927705631095974
"567",12.1752617211516,4.91163720516254
"568",0.239329737827935,0.609162775709353
"569",26.7407844734785,9.63880215981823
"570",0,0
"571",5.17690789529944,2.98952625611566
"572",18.0072502150796,7.36036599900197
"573",0.278763989605805,0.513144009105656
"574",2.62335300323348,1.3361794634434
"575",0,0
"576",3.67708032463598,2.16547755937509
"577",12.1204491764718,4.62670851367473
"578",0.988742378559834,0.986459759295611
"579",10.335648206359,4.17516113648808
"580",0,0
"581",0,0
"582",0.931233270518389,0.854661451397647
"583",1.68121538279769,1.22022935815955
"584",2.44087193013347,1.26833124384342
"585",8.49975571088361,3.90054618887957
"586",2.62108722180404,1.3871457178331
"587",5.71304289793691,2.64605812921676
"588",1.02506939743975,0.776504627536166
"589",1.65219125321814,1.05810148224737
"590",13.0071740193868,4.89605809483852
"591",2.56643361298321,1.71814935685051
"592",11.0561975932252,3.5124268007502
"593",7.46307932959216,2.76320411848456
"594",2.75405631101583,1.79895768435298
"595",82.2701380310927,25.1093714390527
"596",17.4007213414255,6.22748304358372
"597",33.6666380394399,9.11142445798548
"598",5.03166858533248,2.02891493590073
"599",147.700164384324,42.9241082044547
"600",1.69357483562888,1.07345214626118
"601",14.5652869136566,4.95326832897205
"602",17.9510965921896,5.06291194602777
"603",7.58325655597036,2.70383592356522
"604",12.5171842510991,4.40652871144334
